source_player_id,phase,era,birth_year,final_institution,auto_verdict,reviewed_category,reviewer_note
15851,phase1,,1996,,institution_unknown,,
18980,phase1,,1997,,institution_unknown,,
19390,phase1,,2000,,institution_unknown,,
19604,phase1,,1998,,institution_unknown,,
29466,phase1,,2001,,institution_unknown,,
29590,phase1,,1997,,institution_unknown,,
38041,phase1,,2003,,institution_unknown,,
38121,phase1,,2005,,institution_unknown,,
38125,phase1,,2005,,institution_unknown,,
38937,phase1,,2005,,institution_unknown,,
38938,phase1,,2005,,institution_unknown,,
38940,phase1,,2005,,institution_unknown,,
40851,phase1,,2005,,institution_unknown,,
44190,phase1,,2005,,institution_unknown,,
45171,phase1,,2006,,institution_unknown,,
45208,phase1,,2006,,institution_unknown,,
45292,phase1,,2006,,institution_unknown,,
45298,phase1,,2006,,institution_unknown,,
45636,phase1,,2005,,institution_unknown,,
45648,phase1,,2005,,institution_unknown,,
45658,phase1,,2006,,institution_unknown,,
45709,phase1,,2004,,institution_unknown,,
47657,phase1,,2004,,institution_unknown,,
48391,phase1,,2004,,institution_unknown,,
48696,phase1,,2006,,institution_unknown,,
48930,phase1,,2005,,institution_unknown,,
48998,phase1,,2006,,institution_unknown,,
49001,phase1,,2006,,institution_unknown,,
59531,phase1,,2007,,institution_unknown,,
60954,phase1,,2005,,institution_unknown,,
61011,phase1,,2007,,institution_unknown,,
70172,phase1,,2007,,institution_unknown,,
1446,phase1,,1978,柏レイソルユース,j_club_boundary,,
1484,phase1,,1979,鹿島アントラーズユース,j_club_boundary,,
2537,phase1,,1979,ガンバ大阪ユース,j_club_boundary,,
2546,phase1,,1979,ガンバ大阪ユース,j_club_boundary,,
2582,phase1,,1978,京都パープルサンガユース,j_club_boundary,,
31505,phase1,,2000,鹿児島ユナイテッドFC U-18,j_club_boundary,,
32743,phase1,,2001,ヴァンラーレ八戸FC U-18,j_club_boundary,,
37907,phase1,,2001,- 2019年 鹿児島ユナイテッドFC U-18,j_club_boundary,,
49637,phase1,,2004,テゲバジャーロ宮崎 U-18,j_club_boundary,,
55406,phase1,,2007,奈良クラブユース,j_club_boundary,,
60242,phase1,,2006,奈良クラブユース,j_club_boundary,,
15857,phase1,,1994,エスペランサSCユース,non_j_club_academy,,
29318,phase1,,1998,"シャルケ04 U-17, U-19",non_j_club_academy,,
39175,phase1,,2000,RAFAサッカーアカデミー,non_j_club_academy,,
45053,phase1,,2003,三菱養和SCユース,non_j_club_academy,,
60352,phase1,,2007,シーズン途中 - 2025年6月  愛媛FC U-18,non_j_club_academy,,
61657,phase1,,2006,神村学園高等部,non_j_club_academy,,
70157,phase1,,2007,レアル・ソシエダユース,non_j_club_academy,,
38941,phase1,,2005,AAアルヘンティノス・ジュニアーズ,pathway_label_error(grassroots_club),,
8617,phase1,,1987,大社高校,pathway_label_error(high_school),,
9145,phase1,,1988,静岡県立浜名高等学校,pathway_label_error(high_school),,
9691,phase1,,1989,秋田市立秋田商業高等学校,pathway_label_error(high_school),,
